S.No,Date,Time,Sample,Month,Pagg,Gmb,Gmm,"Air-voids, Va",Binder Content,Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,"Traffic, msa"
95,2020/12/10,Month 16,5,16,95.1,2.378,2.505,5.1,4.9,94.9,2.607,2.560,11.65,56.49,6.6,5.3,0.7,4.2,0.4313
96,2020/12/10,Month 16,6,16,95.2,2.393,2.505,4.5,4.8,95.5,2.607,2.560,11.00,59.36,6.5,4.7,0.7,4.1,0.4313
97,2020/12/10,Month 16,7,16,95.1,2.381,2.505,5.0,4.9,95.0,2.607,2.560,11.54,57.10,6.6,5.2,0.7,4.2,0.4313
98,2020/12/10,Month 16,8,16,95.1,2.380,2.505,5.0,4.9,95.0,2.607,2.560,11.58,56.90,6.6,5.3,0.7,4.2,0.4313
99,2020/12/10,Month 16,9,16,95.3,2.350,2.505,6.2,4.7,93.8,2.607,2.560,12.51,50.53,6.3,6.6,0.7,4.0,0.4313
100,2020/12/10,Month 16,10,16,95.0,2.372,2.505,5.3,5.0,94.7,2.607,2.560,11.97,55.63,6.7,5.6,0.7,4.3,0.4313
101,2021/01/07,Month 17,1,17,95.4,2.389,2.505,4.6,4.6,95.4,2.607,2.560,10.96,57.76,6.3,4.9,0.7,3.9,0.4593
102,2021/01/07,Month 17,2,17,95.4,2.342,2.505,6.5,4.6,93.5,2.607,2.560,12.71,48.82,6.2,7.0,0.7,3.9,0.4593
103,2021/01/07,Month 17,3,17,95.1,2.348,2.505,6.3,4.9,93.7,2.607,2.560,12.77,50.90,6.5,6.7,0.7,4.2,0.4593
104,2021/01/07,Month 17,4,17,95.1,2.358,2.505,5.9,4.9,94.1,2.607,2.560,12.39,52.65,6.5,6.2,0.7,4.2,0.4593
105,2021/01/07,Month 17,5,17,95.2,2.375,2.505,5.2,4.8,94.8,2.607,2.560,11.67,55.53,6.5,5.5,0.7,4.1,0.4593
106,2021/01/07,Month 17,6,17,95.2,2.351,2.505,6.1,4.8,93.9,2.607,2.560,12.56,51.06,6.4,6.6,0.7,4.1,0.4593
107,2021/01/07,Month 17,7,17,95.1,2.357,2.505,5.9,4.9,94.1,2.607,2.560,12.43,52.47,6.5,6.3,0.7,4.2,0.4593
108,2021/01/07,Month 17,8,17,95.1,2.347,2.505,6.3,4.9,93.7,2.607,2.560,12.80,50.74,6.5,6.7,0.7,4.2,0.4593
109,2021/01/07,Month 17,9,17,95.0,2.344,2.505,6.4,5.0,93.6,2.607,2.560,13.01,50.58,6.6,6.9,0.7,4.3,0.4593
110,2021/01/07,Month 17,10,17,95.0,2.359,2.505,5.8,5.0,94.2,2.607,2.560,12.45,53.18,6.6,6.2,0.7,4.3,0.4593
111,2021/02/11,Month 18,1,18,95.4,2.367,2.505,5.5,4.6,94.5,2.607,2.560,11.78,53.24,6.3,5.8,0.7,3.9,0.4876
112,2021/02/11,Month 18,2,18,95.4,2.358,2.505,5.9,4.6,94.1,2.607,2.560,12.12,51.57,6.2,6.2,0.7,3.9,0.4876
113,2021/02/11,Month 18,3,18,95.2,2.382,2.505,4.9,4.8,95.1,2.607,2.560,11.41,56.96,6.5,5.2,0.7,4.1,0.4876
114,2021/02/11,Month 18,4,18,95.2,2.351,2.505,6.1,4.8,93.9,2.607,2.560,12.56,51.06,6.4,6.6,0.7,4.1,0.4876
115,2021/02/11,Month 18,5,18,95.3,2.328,2.505,7.1,4.7,92.9,2.607,2.560,13.33,46.98,6.3,7.6,0.7,4.0,0.4876
116,2021/02/11,Month 18,6,18,95.3,2.324,2.505,7.2,4.7,92.8,2.607,2.560,13.48,46.38,6.3,7.8,0.7,4.0,0.4876
117,2021/02/11,Month 18,7,18,95.2,2.359,2.505,5.8,4.8,94.2,2.607,2.560,12.27,52.48,6.4,6.2,0.7,4.1,0.4876
118,2021/02/11,Month 18,8,18,95.2,2.358,2.505,5.9,4.8,94.1,2.607,2.560,12.30,52.30,6.4,6.2,0.7,4.1,0.4876
119,2021/02/11,Month 18,9,18,95.3,2.380,2.505,5.0,4.7,95.0,2.607,2.560,11.39,56.19,6.4,5.3,0.7,4.0,0.4876
120,2021/02/11,Month 18,10,18,95.3,2.381,2.505,5.0,4.7,95.0,2.607,2.560,11.35,56.40,6.4,5.2,0.7,4.0,0.4876
121,2021/03/18,Month 19,1,19,95.4,2.360,2.505,5.8,4.6,94.2,2.607,2.560,12.04,51.94,6.3,6.1,0.7,3.9,0.5159
122,2021/03/18,Month 19,2,19,95.3,2.329,2.505,7.0,4.7,93.0,2.607,2.560,13.29,47.13,6.3,7.6,0.7,4.0,0.5159
123,2021/03/18,Month 19,3,19,95.2,2.342,2.505,6.5,4.8,93.5,2.607,2.560,12.90,49.55,6.4,7.0,0.7,4.1,0.5159
124,2021/03/18,Month 19,4,19,95.0,2.335,2.505,6.8,5.0,93.2,2.607,2.560,13.34,49.13,6.6,7.3,0.7,4.3,0.5159
125,2021/03/18,Month 19,5,19,94.9,2.364,2.505,5.6,5.1,94.4,2.607,2.560,12.36,54.45,6.7,6.0,0.7,4.4,0.5159
126,2021/03/18,Month 19,6,19,95.5,2.385,2.505,4.8,4.5,95.2,2.607,2.560,11.02,56.52,6.2,5.0,0.7,3.8,0.5159
127,2021/03/18,Month 19,7,19,95.1,2.379,2.505,5.0,4.9,95.0,2.607,2.560,11.61,56.69,6.6,5.3,0.7,4.2,0.5159
128,2021/03/18,Month 19,8,19,95.6,2.351,2.505,6.1,4.4,93.9,2.607,2.560,12.20,49.59,6.0,6.6,0.7,3.7,0.5159
129,2021/03/18,Month 19,9,19,95.3,2.384,2.505,4.8,4.7,95.2,2.607,2.560,11.24,57.03,6.4,5.1,0.7,4.0,0.5159
130,2021/03/18,Month 19,10,19,95.2,2.365,2.505,5.6,4.8,94.4,2.607,2.560,12.04,53.59,6.5,5.9,0.7,4.1,0.5159
131,2021/07/10,Month 23,1,23,95.3,2.361,2.505,5.7,4.7,94.3,2.607,2.560,12.10,52.49,6.3,6.1,0.7,4.0,0.6307
132,2021/07/10,Month 23,2,23,95.6,2.328,2.505,7.1,4.4,92.9,2.607,2.560,13.05,45.87,6.0,7.6,0.7,3.7,0.6307
133,2021/07/10,Month 23,3,23,95.2,2.358,2.505,5.9,4.8,94.1,2.607,2.560,12.30,52.30,6.4,6.2,0.7,4.1,0.6307
134,2021/07/10,Month 23,4,23,95.3,2.367,2.505,5.5,4.7,94.5,2.607,2.560,11.88,53.61,6.4,5.8,0.7,4.0,0.6307
135,2021/07/10,Month 23,5,23,95.6,2.351,2.505,6.1,4.4,93.9,2.607,2.560,12.20,49.59,6.0,6.6,0.7,3.7,0.6307
136,2021/07/10,Month 23,6,23,95.3,2.385,2.505,4.8,4.7,95.2,2.607,2.560,11.20,57.25,6.4,5.0,0.7,4.0,0.6307
137,2021/07/10,Month 23,7,23,95.2,2.380,2.505,5.0,4.8,95.0,2.607,2.560,11.48,56.55,6.5,5.3,0.7,4.1,0.6307
138,2021/07/10,Month 23,8,23,95.1,2.369,2.505,5.4,4.9,94.6,2.607,2.560,11.99,54.70,6.6,5.7,0.7,4.2,0.6307
139,2021/07/10,Month 23,9,23,95.2,2.369,2.505,5.4,4.8,94.6,2.607,2.560,11.89,54.35,6.5,5.7,0.7,4.1,0.6307
140,2021/07/10,Month 23,10,23,95.3,2.361,2.505,5.7,4.7,94.3,2.607,2.560,12.10,52.49,6.3,6.1,0.7,4.0,0.6307
141,2021/08/10,Month 24,1,24,95.5,2.357,2.505,5.9,4.5,94.1,2.607,2.560,12.06,51.02,6.2,6.3,0.7,3.8,0.6598
142,2021/08/10,Month 24,2,24,95.5,2.366,2.505,5.5,4.5,94.5,2.607,2.560,11.73,52.68,6.2,5.9,0.7,3.8,0.6598
143,2021/08/10,Month 24,3,24,95.3,2.392,2.505,4.5,4.7,95.5,2.607,2.560,10.94,58.78,6.4,4.7,0.7,4.0,0.6598
144,2021/08/10,Month 24,4,24,95.3,2.388,2.505,4.7,4.7,95.3,2.607,2.560,11.09,57.90,6.4,4.9,0.7,4.0,0.6598
145,2021/08/10,Month 24,5,24,95.4,2.364,2.505,5.6,4.6,94.4,2.607,2.560,11.89,52.68,6.3,6.0,0.7,3.9,0.6598
146,2021/08/10,Month 24,6,24,95.4,2.338,2.505,6.7,4.6,93.3,2.607,2.560,12.86,48.17,6.2,7.1,0.7,3.9,0.6598
147,2021/08/10,Month 24,7,24,95.2,2.377,2.505,5.1,4.8,94.9,2.607,2.560,11.60,55.93,6.5,5.4,0.7,4.1,0.6598
148,2021/08/10,Month 24,8,24,95.2,2.338,2.505,6.7,4.8,93.3,2.607,2.560,13.05,48.90,6.4,7.1,0.7,4.1,0.6598
149,2021/08/10,Month 24,9,24,95.1,2.367,2.505,5.5,4.9,94.5,2.607,2.560,12.06,54.32,6.6,5.8,0.7,4.2,0.6598
150,2021/08/10,Month 24,10,24,95.1,2.348,2.505,6.3,4.9,93.7,2.607,2.560,12.77,50.90,6.5,6.7,0.7,4.2,0.6598
151,2021/09/15,Month 25,1,25,95.6,2.358,2.505,5.9,4.4,94.1,2.607,2.560,11.93,50.83,6.1,6.2,0.7,3.7,0.6890
152,2021/09/15,Month 25,2,25,95.5,2.367,2.505,5.5,4.5,94.5,2.607,2.560,11.69,52.87,6.2,5.8,0.7,3.8,0.6890
153,2021/09/15,Month 25,3,25,95.4,2.389,2.505,4.6,4.6,95.4,2.607,2.560,10.96,57.76,6.3,4.9,0.7,3.9,0.6890
154,2021/09/15,Month 25,4,25,95.4,2.344,2.505,6.4,4.6,93.6,2.607,2.560,12.64,49.15,6.2,6.9,0.7,3.9,0.6890
155,2021/09/15,Month 25,5,25,95.4,2.368,2.505,5.5,4.6,94.5,2.607,2.560,11.75,53.44,6.3,5.8,0.7,3.9,0.6890
156,2021/09/15,Month 25,6,25,95.4,2.373,2.505,5.3,4.6,94.7,2.607,2.560,11.56,54.41,6.3,5.6,0.7,3.9,0.6890
157,2021/09/15,Month 25,7,25,95.4,2.352,2.505,6.1,4.6,93.9,2.607,2.560,12.34,50.51,6.2,6.5,0.7,3.9,0.6890
158,2021/09/15,Month 25,8,25,95.5,2.357,2.505,5.9,4.5,94.1,2.607,2.560,12.06,51.02,6.2,6.3,0.7,3.8,0.6890
159,2021/09/15,Month 25,9,25,95.1,2.369,2.505,5.4,4.9,94.6,2.607,2.560,11.99,54.70,6.6,5.7,0.7,4.2,0.6890
160,2021/09/15,Month 25,10,25,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.41,53.47,6.1,5.6,0.7,3.7,0.6890
161,2021/10/22,Month 26,1,26,95.5,2.372,2.505,5.3,4.5,94.7,2.607,2.560,11.50,53.85,6.2,5.6,0.7,3.8,0.7183
162,2021/10/22,Month 26,2,26,95.5,2.349,2.505,6.2,4.5,93.8,2.607,2.560,12.36,49.62,6.1,6.6,0.7,3.8,0.7183
163,2021/10/22,Month 26,3,26,95.6,2.367,2.505,5.5,4.4,94.5,2.607,2.560,11.60,52.50,6.1,5.8,0.7,3.7,0.7183
164,2021/10/22,Month 26,4,26,95.6,2.355,2.505,6.0,4.4,94.0,2.607,2.560,12.05,50.29,6.1,6.4,0.7,3.7,0.7183
165,2021/10/22,Month 26,5,26,95.5,2.356,2.505,5.9,4.5,94.1,2.607,2.560,12.10,50.84,6.2,6.3,0.7,3.8,0.7183
166,2021/10/22,Month 26,6,26,95.5,2.388,2.505,4.7,4.5,95.3,2.607,2.560,10.91,57.18,6.2,4.9,0.7,3.8,0.7183
167,2021/10/22,Month 26,7,26,95.4,2.378,2.505,5.1,4.6,94.9,2.607,2.560,11.37,55.42,6.3,5.3,0.7,3.9,0.7183
168,2021/10/22,Month 26,8,26,95.4,2.353,2.505,6.1,4.6,93.9,2.607,2.560,12.30,50.69,6.2,6.5,0.7,3.9,0.7183
169,2021/10/22,Month 26,9,26,95.6,2.365,2.505,5.6,4.4,94.4,2.607,2.560,11.67,52.12,6.1,5.9,0.7,3.7,0.7183
170,2021/10/22,Month 26,10,26,95.6,2.374,2.505,5.2,4.4,94.8,2.607,2.560,11.34,53.87,6.1,5.5,0.7,3.7,0.7183
171,2021/11/26,Month 27,1,27,95.4,2.375,2.505,5.2,4.6,94.8,2.607,2.560,11.48,54.81,6.3,5.5,0.7,3.9,0.7478
172,2021/11/26,Month 27,2,27,95.4,2.343,2.505,6.5,4.6,93.5,2.607,2.560,12.68,48.99,6.2,6.9,0.7,3.9,0.7478
173,2021/11/26,Month 27,3,27,95.5,2.355,2.505,6.0,4.5,94.0,2.607,2.560,12.14,50.67,6.1,6.4,0.7,3.8,0.7478
174,2021/11/26,Month 27,4,27,95.5,2.347,2.505,6.3,4.5,93.7,2.607,2.560,12.44,49.28,6.1,6.7,0.7,3.8,0.7478
175,2021/11/26,Month 27,5,27,95.5,2.388,2.505,4.7,4.5,95.3,2.607,2.560,10.91,57.18,6.2,4.9,0.7,3.8,0.7478
176,2021/11/26,Month 27,6,27,95.3,2.385,2.505,4.8,4.7,95.2,2.607,2.560,11.20,57.25,6.4,5.0,0.7,4.0,0.7478
177,2021/11/26,Month 27,7,27,95.3,2.370,2.505,5.4,4.7,94.6,2.607,2.560,11.76,54.19,6.4,5.7,0.7,4.0,0.7478
178,2021/11/26,Month 27,8,27,95.6,2.368,2.505,5.5,4.4,94.5,2.607,2.560,11.56,52.69,6.1,5.8,0.7,3.7,0.7478
179,2021/11/26,Month 27,9,27,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.41,53.47,6.1,5.6,0.7,3.7,0.7478
180,2021/11/26,Month 27,10,27,95.5,2.379,2.505,5.0,4.5,95.0,2.607,2.560,11.24,55.26,6.2,5.3,0.7,3.8,0.7478
181,2022/07/05,Month 35,1,35,95.6,2.413,2.505,3.7,4.4,96.3,2.607,2.560,9.87,62.90,6.2,3.8,0.7,3.7,0.9889
182,2022/07/05,Month 35,2,35,95.3,2.343,2.505,6.5,4.7,93.5,2.607,2.560,12.80,49.45,6.3,6.9,0.7,4.0,0.9889
183,2022/07/05,Month 35,3,35,95.5,2.386,2.505,4.7,4.5,95.3,2.607,2.560,10.97,56.82,6.2,5.0,0.7,3.8,0.9889
184,2022/07/05,Month 35,4,35,95.4,2.344,2.505,6.4,4.6,93.6,2.607,2.560,12.69,49.31,6.3,6.9,0.7,3.9,0.9889
185,2022/07/05,Month 35,5,35,95.5,2.353,2.505,6.1,4.5,93.9,2.607,2.560,12.22,50.26,6.1,6.5,0.7,3.8,0.9889
186,2022/07/05,Month 35,6,35,95.4,2.387,2.505,4.7,4.6,95.3,2.607,2.560,11.03,57.38,6.3,4.9,0.7,3.9,0.9889
187,2022/07/05,Month 35,7,35,95.4,2.373,2.505,5.3,4.6,94.7,2.607,2.560,11.54,54.34,6.3,5.6,0.7,3.8,0.9889
188,2022/07/05,Month 35,8,35,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.43,53.48,6.1,5.6,0.7,3.7,0.9889